,strain_id,strain,type,Rating,effects,description,Flavors
1244,1244,lemon haze,sativa,3.41,"happy, uplifted, euphoric, energetic, relaxed","lemon haze has been characterized as smelling of fresh peeled lemon slices with a similar taste. its buds appear to be green and yellow with amber hairs on the trichomes, giving it the yellow tint. this strains thc has been measured at about 15-20% with a cbd of 0.38%. ","lemon, citrus, sweet"
1237,1237,lemon cake,sativa,3.41,"relaxed, uplifted, happy, energetic, euphoric","lemon cake by heavyweight seeds is a potent sativa-dominant strain with sweet and musky aromas. also known as lemon cheesecake, lemon cake is the cross of lemon skunk and a “dangerously powerful cheese,” according to hs. with a nine to ten week flowering time, squat morphology, and abundant yield, lemon cake is kind to growers, especially those outdoors. this strain emits a pungent citrus aroma with a musky cheese undertone. heavyweight seeds recommends consuming this strain to combat stress, loss of appetite, and minor physical discomfort.","lemon, cheese, sweet"
1332,1332,marleys collie,hybrid,3.41,"focused, aroused, hungry, tingly, relaxed","marleys collie is an indica-dominant hybrid bred by sensi seeds that won the dutch high life cup in 1999. these sticky, spiky buds offer a pungent sweet aroma with musky afghan undertones, delivering effects that are strong in both physical and cerebral sensation. indoor and outdoor grows can expect flowers between 60 and 65 days.",sweet
1337,1337,master bubba,indica,3.41,"relaxed, euphoric, happy, uplifted, sleepy","master bubba is the perfect strain for those looking for true indica effects. bred from master kush and bubba kush, it’s popular for the treatment of pain, stress and insomnia thanks to the strong body sedation it provides. master bubba plants flower at 8 to 9 weeks with smaller, dense buds that can have a fruity, musky aroma. kush earthiness is the main note in its smooth flavor. this strain can be very potent, making it best in the evening or as a nightcap.","earthy, pungent, skunk"
539,539,citrix,hybrid,3.41,"happy, euphoric, uplifted, relaxed, energetic","citrix is a hybrid cannabis strain that draws its genetics from a flavorful grapefruit mother and a resinous la confidential male. named for its intense orange aroma, citrix entices the senses before drawing you into its active, clear-headed euphoria. if citrix makes it into your garden, the telltale signs of a good phenotype include a pungent aroma, disease resistance, heavy yields, rapid vegetative growth, and a dense bud structure.","citrus, lemon, grapefruit"
1388,1388,moby dick,sativa,3.41,"uplifted, euphoric, happy, relaxed, energetic","originating in amsterdam and currently bred by dinafem seeds, moby dick’s high thc content makes it one of the strongest sativas. winner of ‘girl of the year’ by the cannabis newspaper soft secrets in 2010, this strain is a cross between indica-dominant hybrid white widow and sativa haze; the former is known for its power while the latter for its cerebral stimulation, creating a mostly sativa plant that delivers a charged buzz. this strain is also favored for its short flowering period, mold resistance, and high yield, making it a grower favorite. however, the plant does require more attention and care. the aroma is a sweet citrus from the haze, which dominates the palate with vanilla and eucalyptus tones.","sweet, citrus, earthy"
1422,1422,nl5 haze mist,sativa,3.41,"happy, euphoric, relaxed, uplifted, creative","nl5 haze mist by green house seeds is a classic sativa-dominant strain that mixes genetics from northern lights #5, haze, and kali mist. though primarily cerebral in effect, nl5 haze mist also provides a light body buzz that eases muscles into relaxation. this sativa brings a newfound vibrancy to the senses, allowing you to unlock creativity and appreciation of your surroundings. ","earthy, sweet, tropical"
451,451,carnival,sativa,3.41,"talkative, uplifted, happy, energetic, relaxed","carnival by ministry of cannabis is a sativa-dominant strain designed to translate the eccentric, colorful vibe of carnival from the streets of brazil into the mind of the consumer. this cerebral strain gets its powerful mental effects from its select haze mother and its unknown sativa-hybrid father. the scents of citrus and lemon candy explode off the lanky spears created by this plant. know to thrive both indoors and outdoors, carnival has a snappy flowering time of only nine weeks. this strain’s upbeat euphoria and general mood alteration makes it a great social strain to share among friends.","earthy, pine"
850,850,glad max,hybrid,3.41,"euphoric, relaxed, uplifted, happy, creative","glad max, cultivated by monarch wellness in arizona, is a spin on the classic sativa-dominant caramelicious. this high-thc hybrid strain is known to have long-lasting euphoria that lifts the mood while relaxing the body. consumers have compared this strain to mother’s helper in its aroma and effects, but glad max is said to carry even happier, more lighthearted qualities. its buds have a sweet, earthy aroma and tend to take on a slight caramel hue with maturation.","earthy, sweet, flowery"
1415,1415,mr tusk,hybrid,3.41,"happy, talkative, tingly, euphoric, relaxed","mr. tusk is a phenotype of kens og kush, grown specially by kushman veganics for the release of kevin smiths film tusk. available only for a limited time at buds & roses in los angeles, mr. tusk is an intensely potent indica-dominant hybrid released alongside its more mellow counterpart white walrus. this strain has also gone by the name purple drank due to its flavor and aroma.","citrus, sweet, berry"
714,714,dutch treat,hybrid,3.41,"relaxed, happy, euphoric, uplifted, focused","over the years, dutch treat has become an essential strain of the amsterdam coffee shops. the dense, sticky buds have an intense smell of sweet fruits mixed with pine and eucalyptus trees. the cerebral high comes on quick and leaves consumers feeling uplifted and euphoric while reducing stress and relaxing the mind.","sweet, pine, earthy"
1404,1404,morning star,hybrid,3.41,"uplifted, euphoric, creative, happy, energetic","a very potent strain of cannabis, morning star provides an uplifting and mind-expanding high.  sweet and expansive smoke, thc content as high as 24%.","orange, berry, blueberry"
1400,1400,moonshine haze,sativa,3.41,"uplifted, euphoric, happy, relaxed, creative",moonshine haze by rare dankness seeds is a mostly sativa strain bred by combining nevils wreck and amnesia haze.,"earthy, citrus, pine"
852,852,glass slipper,hybrid,3.41,"happy, uplifted, relaxed, euphoric, creative","a cross between cinderella 99 and pineapple 99, glass slipper is a sativa-dominant hybrid described to have a nice cerebral effect with a sweet, somewhat fruity flavor profile.","sweet, earthy, flowery"
854,854,go time,hybrid,3.41,"focused, uplifted, energetic, euphoric, relaxed","go time is a sativa-dominant hybrid strain bred by jinxproof genetics. a cross between norton and jog kush, this uplifting strain is perfect for perking up moods, stimulating focus, and coercing arousal. zesty lemon aromas combine with sour, skunky diesel notes with an earthy, hashy finish. as pretty as it is potent, go time flowers erupt with bulging calyxes of pastel purples, pinks, and greens underneath a snow-white coat of crystal resin. ","earthy, woody, tea"
857,857,god bud,indica,3.41,"relaxed, happy, euphoric, uplifted, sleepy","god bud, originally from jordan of the islands, is a longtime favorite of cash croppers and medicinal users alike, providing large, dense, purple tinged buds on short, compact plants with heavy branching. a mix of  hawaiian, purple skunk, and the mysterious canadian strain known only as “god,” this strain produces copious amounts of resin and an almost overwhelming musky-sweet smell. god bud is a potent indica-dominant hybrid that can give users an almost hallucinogenic high while tasting of tropical fruit with undertones of berry, lavender and pine. this strain was also produced under the name bc god bud by canadian outfit bc bud depot.","pungent, earthy, sweet"
